[INFO] Motor 1, Actual_Vol: 685.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 0, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 1021.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 1, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 1107.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 2, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 1036.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 3, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 196.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 4, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 901.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 5, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 1025.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 6, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 509.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 7, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 300.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 8, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 345.0, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 9, Vel_Sp: 100, Vel: 10.0
[INFO] Motor 1, Actual_Vol: 921.454545454546, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 10, Vel_Sp: 100, Vel: 19.090909090909093
[INFO] Motor 1, Actual_Vol: 814.5405405405418, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 11, Vel_Sp: 100, Vel: 19.00900900900901
[INFO] Motor 1, Actual_Vol: 1690.7142857142862, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 12, Vel_Sp: 100, Vel: 18.92857142857143
[INFO] Motor 1, Actual_Vol: 1523.9734513274325, Brake: 1, Gear: 1, I_max: 1000, I: 100, kD: 0, kI: 0, kP: 1.0, Slew: 40, Time: 13, Vel_Sp: 100, Vel: 18.849557522123895
